time,WMA_daily_5_close,Company
2021-11-05,184.0567,ABNB
2021-11-04,174.8133,ABNB
2021-11-03,172.8433,ABNB
2021-11-02,172.482,ABNB
2021-11-01,172.0053,ABNB
2021-10-29,170.5947,ABNB
2021-10-28,170.2293,ABNB
2021-10-27,169.4373,ABNB
2021-10-26,169.556,ABNB
2021-10-25,168.968,ABNB
2021-10-22,169.2187,ABNB
2021-10-21,170.5053,ABNB
2021-10-20,170.5053,ABNB
2021-10-19,171.0067,ABNB
2021-10-18,171.3153,ABNB
2021-10-15,170.7207,ABNB
2021-10-14,171.2253,ABNB
2021-10-13,171.23,ABNB
2021-10-12,169.786,ABNB
2021-10-11,168.0847,ABNB
2021-10-08,168.2653,ABNB
2021-10-07,167.5487,ABNB
2021-10-06,166.832,ABNB
2021-10-05,166.9533,ABNB
2021-10-04,168.1673,ABNB
2021-10-01,170.112,ABNB
2021-09-30,169.4113,ABNB
2021-09-29,170.956,ABNB
2021-09-28,172.52,ABNB
2021-09-27,173.9613,ABNB
2021-09-24,172.668,ABNB
2021-09-23,170.2153,ABNB
2021-09-22,167.5473,ABNB
2021-09-21,166.3633,ABNB
2021-09-20,165.0033,ABNB
2021-09-17,166.1053,ABNB
2021-09-16,165.4647,ABNB
2021-09-15,164.1607,ABNB
2021-09-14,163.2873,ABNB
2021-09-13,163.5507,ABNB
2021-09-10,164.6527,ABNB
2021-09-09,163.5947,ABNB
2021-09-08,161.6427,ABNB
2021-09-07,159.7847,ABNB
2021-09-03,156.9713,ABNB
2021-09-02,156.2367,ABNB
2021-09-01,155.4707,ABNB
2021-08-31,155.1587,ABNB
2021-08-30,155.8087,ABNB
2021-08-27,155.5,ABNB
2021-08-26,155.106,ABNB
2021-08-25,154.5233,ABNB
2021-08-24,150.4933,ABNB
2021-08-23,144.9387,ABNB
2021-08-20,144.3793,ABNB
2021-08-19,145.454,ABNB
2021-08-18,147.4453,ABNB
2021-08-17,148.168,ABNB
2021-08-16,150.1073,ABNB
2021-08-13,150.548,ABNB
2021-08-12,149.4073,ABNB
2021-08-11,148.748,ABNB
2021-08-10,149.0347,ABNB
2021-08-09,149.238,ABNB
2021-08-06,148.6813,ABNB
2021-08-05,147.5427,ABNB
2021-08-04,145.8373,ABNB
2021-08-03,144.832,ABNB
2021-08-02,144.1387,ABNB
2021-07-30,143.266,ABNB
2021-07-29,142.5347,ABNB
2021-07-28,141.7167,ABNB
2021-07-27,140.6853,ABNB
2021-07-26,139.8613,ABNB
2021-07-23,138.2227,ABNB
2021-07-22,137.3793,ABNB
2021-07-21,136.158,ABNB
2021-07-20,134.9993,ABNB
2021-07-19,135.382,ABNB
2021-07-16,138.1553,ABNB
2021-07-15,141.1407,ABNB
2021-07-14,143.398,ABNB
2021-07-13,145.434,ABNB
2021-07-12,146.3607,ABNB
2021-07-09,146.43,ABNB
2021-07-08,145.7453,ABNB
2021-07-07,148.138,ABNB
2021-07-06,150.2913,ABNB
2021-07-02,150.9993,ABNB
