time,WMA_daily_5_close,Company,WMA_daily_10_close,"FAMA_MAMA_daily_close_(0.1, 0.1)","MAMA_daily_close_(0.1, 0.1)","FAMA_MAMA_daily_close_(0.25, 0.25)","MAMA_daily_close_(0.25, 0.25)"
2009-07-06,15.7328,ABT,15.878,15.3596,15.7107,15.7326,15.8077
2009-07-07,15.5825,ABT,15.7795,15.3756,15.6787,15.729,15.7036
2009-07-08,15.5982,ABT,15.7494,15.391,15.683,15.7264,15.7079
2009-07-09,15.5873,ABT,15.6992,15.4051,15.6738,15.7204,15.6789
2009-07-10,15.5337,ABT,15.6235,15.4173,15.648,15.707,15.613
2009-07-13,15.6188,ABT,15.6342,15.4296,15.6634,15.7012,15.6603
2009-07-14,15.7302,ABT,15.6716,15.4425,15.6889,15.7041,15.7249
2009-07-15,15.6684,ABT,15.6393,15.4539,15.6705,15.6998,15.6698
2009-07-16,15.5822,ABT,15.5943,15.4633,15.6422,15.6873,15.5993
2009-07-17,15.456,ABT,15.5281,15.4702,15.6007,15.6647,15.5063
2009-07-20,15.404,ABT,15.5017,15.4758,15.5818,15.6419,15.4827
2009-07-21,15.3768,ABT,15.4783,15.4802,15.5645,15.6197,15.4641
2009-07-22,15.2946,ABT,15.406,15.4823,15.5222,15.5902,15.3835
2009-07-23,15.1933,ABT,15.3206,15.4818,15.4711,15.5527,15.2904
2009-07-24,15.2506,ABT,15.3186,15.4809,15.4652,15.5237,15.3208
2009-07-27,15.2978,ABT,15.3179,15.4799,15.4606,15.5014,15.3453
2009-07-28,15.3903,ABT,15.3491,15.4794,15.4701,15.4885,15.3979
2009-07-29,15.5026,ABT,15.4031,15.4798,15.4875,15.4849,15.4596
2009-07-30,15.5825,ABT,15.4552,15.481,15.5036,15.4876,15.5068
2009-07-31,15.5389,ABT,15.4583,15.4817,15.4938,15.4868,15.4814
2009-08-03,15.4763,ABT,15.4476,15.4815,15.4791,15.4819,15.4477
2009-08-04,15.3592,ABT,15.4057,15.4799,15.4481,15.4689,15.378
2009-08-05,15.2337,ABT,15.3494,15.4764,15.4099,15.4478,15.3
2009-08-06,15.1045,ABT,15.2716,15.4707,15.3628,15.4181,15.2099
2009-08-07,15.0465,ABT,15.2081,15.4635,15.3277,15.3859,15.1602
2009-08-10,15.0924,ABT,15.1942,15.4563,15.3193,15.3603,15.1812
2009-08-11,15.1656,ABT,15.1947,15.4494,15.318,15.3418,15.2124
2009-08-12,15.151,ABT,15.1568,15.4416,15.2931,15.3211,15.1767
2009-08-13,15.1716,ABT,15.1486,15.4336,15.2814,15.3031,15.1764
2009-08-14,15.1809,ABT,15.1515,15.4255,15.2722,15.2876,15.1797
2009-08-17,15.2241,ABT,15.1833,15.4181,15.2776,15.2787,15.2163
2009-08-18,15.2127,ABT,15.1886,15.4106,15.2677,15.2698,15.207
2009-08-19,15.3056,ABT,15.2461,15.4044,15.2876,15.27,15.2719
2009-08-20,15.3846,ABT,15.3031,15.3997,15.3093,15.2775,15.3301
2009-08-21,15.4542,ABT,15.3567,15.3963,15.3326,15.2907,15.3831
2009-08-24,15.579,ABT,15.4436,15.3954,15.3772,15.3146,15.4819
2009-08-25,15.6555,ABT,15.5109,15.3962,15.4118,15.3431,15.5423
2009-08-26,15.7128,ABT,15.5799,15.3988,15.4481,15.3752,15.6004
2009-08-27,15.8112,ABT,15.6696,15.4038,15.4993,15.4146,15.6903
2009-08-28,15.8005,ABT,15.7022,15.4097,15.5217,15.4501,15.6986
2009-08-31,15.6989,ABT,15.6821,15.4151,15.5183,15.4746,15.6458
